Date,Region,Sales,Quantity
2024-01-01 00:00:00,East,786,7
2024-01-01 01:00:00,West,850,10
2024-01-01 02:00:00,North,871,10
2024-01-01 03:00:00,East,464,9
2024-01-01 04:00:00,East,262,17
2024-01-01 05:00:00,West,147,15
2024-01-01 06:00:00,North,610,2
2024-01-01 07:00:00,North,428,4
2024-01-01 08:00:00,East,939,19
2024-01-01 09:00:00,South,215,17
2024-01-01 10:00:00,East,948,5
2024-01-01 11:00:00,East,436,7
2024-01-01 12:00:00,East,980,18
2024-01-01 13:00:00,East,836,7
2024-01-01 14:00:00,West,963,17
2024-01-01 15:00:00,North,939,7
2024-01-01 16:00:00,West,246,4
2024-01-01 17:00:00,West,674,8
2024-01-01 18:00:00,West,905,13
2024-01-01 19:00:00,East,422,4
2024-01-01 20:00:00,South,542,6
2024-01-01 21:00:00,North,936,5
2024-01-01 22:00:00,South,112,12
2024-01-01 23:00:00,West,593,4
2024-01-02 00:00:00,West,800,9
2024-01-02 01:00:00,South,386,4
2024-01-02 02:00:00,South,819,19
2024-01-02 03:00:00,South,213,14
2024-01-02 04:00:00,West,579,5
2024-01-02 05:00:00,West,121,18
2024-01-02 06:00:00,North,448,10
2024-01-02 07:00:00,North,825,19
2024-01-02 08:00:00,West,782,12
2024-01-02 09:00:00,South,934,18
2024-01-02 10:00:00,South,665,17
2024-01-02 11:00:00,North,909,11
2024-01-02 12:00:00,West,419,3
2024-01-02 13:00:00,North,225,17
2024-01-02 14:00:00,North,376,1
2024-01-02 15:00:00,East,303,15
2024-01-02 16:00:00,East,293,9
2024-01-02 17:00:00,East,780,15
2024-01-02 18:00:00,South,763,3
2024-01-02 19:00:00,West,646,19
2024-01-02 20:00:00,West,795,13
2024-01-02 21:00:00,West,385,12
2024-01-02 22:00:00,West,156,1
2024-01-02 23:00:00,East,833,17
2024-01-03 00:00:00,South,402,13
2024-01-03 01:00:00,South,262,1
2024-01-03 02:00:00,East,118,10
2024-01-03 03:00:00,South,469,15
2024-01-03 04:00:00,East,363,7
2024-01-03 05:00:00,West,893,18
2024-01-03 06:00:00,East,212,16
2024-01-03 07:00:00,West,587,14
2024-01-03 08:00:00,West,426,18
2024-01-03 09:00:00,North,641,7
2024-01-03 10:00:00,East,746,17
2024-01-03 11:00:00,North,678,18
