Date,Category,Sales,Quantity
2024-01-01 00:00:00,Home,861,32
2024-01-01 01:00:00,Sports,289,49
2024-01-01 02:00:00,Grocery,810,16
2024-01-01 03:00:00,Sports,1607,36
2024-01-01 04:00:00,Sports,1856,18
2024-01-01 05:00:00,Fashion,1659,14
2024-01-01 06:00:00,Grocery,855,30
2024-01-01 07:00:00,Grocery,1546,2
2024-01-01 08:00:00,Grocery,935,13
2024-01-01 09:00:00,Sports,1763,27
2024-01-01 10:00:00,Home,1728,17
2024-01-01 11:00:00,Grocery,1935,31
2024-01-01 12:00:00,Sports,232,15
2024-01-01 13:00:00,Fashion,154,20
2024-01-01 14:00:00,Home,609,5
2024-01-01 15:00:00,Fashion,769,7
2024-01-01 16:00:00,Home,1664,18
2024-01-01 17:00:00,Sports,509,11
2024-01-01 18:00:00,Electronics,1334,32
2024-01-01 19:00:00,Home,1789,27
2024-01-01 20:00:00,Fashion,1416,26
2024-01-01 21:00:00,Sports,1086,37
2024-01-01 22:00:00,Home,833,45
2024-01-01 23:00:00,Electronics,1238,28
2024-01-02 00:00:00,Electronics,1793,2
2024-01-02 01:00:00,Grocery,358,20
2024-01-02 02:00:00,Grocery,1886,4
2024-01-02 03:00:00,Fashion,1245,13
2024-01-02 04:00:00,Home,398,24
2024-01-02 05:00:00,Home,1898,48
2024-01-02 06:00:00,Grocery,1504,38
2024-01-02 07:00:00,Home,660,40
2024-01-02 08:00:00,Home,1964,48
2024-01-02 09:00:00,Electronics,1624,45
2024-01-02 10:00:00,Grocery,396,29
2024-01-02 11:00:00,Sports,461,36
2024-01-02 12:00:00,Grocery,688,2
2024-01-02 13:00:00,Sports,1586,41
2024-01-02 14:00:00,Electronics,1561,18
2024-01-02 15:00:00,Fashion,226,49
2024-01-02 16:00:00,Home,296,8
2024-01-02 17:00:00,Electronics,320,15
2024-01-02 18:00:00,Home,1094,41
2024-01-02 19:00:00,Fashion,190,17
2024-01-02 20:00:00,Fashion,510,23
2024-01-02 21:00:00,Electronics,107,2
2024-01-02 22:00:00,Fashion,643,6
2024-01-02 23:00:00,Sports,567,29
2024-01-03 00:00:00,Fashion,419,27
2024-01-03 01:00:00,Home,1517,37
2024-01-03 02:00:00,Home,368,49
2024-01-03 03:00:00,Home,1314,34
2024-01-03 04:00:00,Home,1984,18
2024-01-03 05:00:00,Sports,1798,42
2024-01-03 06:00:00,Grocery,160,10
2024-01-03 07:00:00,Electronics,1561,38
2024-01-03 08:00:00,Home,1387,44
2024-01-03 09:00:00,Fashion,896,17
2024-01-03 10:00:00,Home,1218,13
2024-01-03 11:00:00,Fashion,652,48
2024-01-03 12:00:00,Fashion,1025,42
2024-01-03 13:00:00,Home,1593,27
2024-01-03 14:00:00,Sports,760,2
2024-01-03 15:00:00,Fashion,815,34
2024-01-03 16:00:00,Fashion,878,31
2024-01-03 17:00:00,Home,1637,23
2024-01-03 18:00:00,Fashion,1813,7
2024-01-03 19:00:00,Fashion,293,38
2024-01-03 20:00:00,Home,581,33
2024-01-03 21:00:00,Home,1459,12
2024-01-03 22:00:00,Electronics,1558,45
2024-01-03 23:00:00,Sports,1319,12
2024-01-04 00:00:00,Sports,954,19
2024-01-04 01:00:00,Fashion,1372,9
2024-01-04 02:00:00,Sports,597,10
2024-01-04 03:00:00,Fashion,311,17
2024-01-04 04:00:00,Electronics,764,40
2024-01-04 05:00:00,Home,769,39
2024-01-04 06:00:00,Home,1589,41
2024-01-04 07:00:00,Home,1997,10
2024-01-04 08:00:00,Sports,1774,12
2024-01-04 09:00:00,Electronics,320,15
2024-01-04 10:00:00,Sports,372,31
2024-01-04 11:00:00,Sports,1277,15
2024-01-04 12:00:00,Electronics,1372,28
2024-01-04 13:00:00,Electronics,378,4
2024-01-04 14:00:00,Electronics,1563,36
2024-01-04 15:00:00,Electronics,915,1
2024-01-04 16:00:00,Home,375,44
2024-01-04 17:00:00,Grocery,1104,34
2024-01-04 18:00:00,Grocery,613,47
2024-01-04 19:00:00,Electronics,1211,17
2024-01-04 20:00:00,Grocery,1922,39
2024-01-04 21:00:00,Grocery,1022,38
2024-01-04 22:00:00,Electronics,741,44
2024-01-04 23:00:00,Grocery,604,33
2024-01-05 00:00:00,Sports,689,21
2024-01-05 01:00:00,Fashion,871,26
2024-01-05 02:00:00,Fashion,1364,46
2024-01-05 03:00:00,Electronics,1776,36
2024-01-05 04:00:00,Home,839,5
2024-01-05 05:00:00,Electronics,774,33
2024-01-05 06:00:00,Home,1359,1
2024-01-05 07:00:00,Fashion,1113,6
2024-01-05 08:00:00,Electronics,227,37
2024-01-05 09:00:00,Sports,602,2
2024-01-05 10:00:00,Grocery,1323,5
2024-01-05 11:00:00,Home,1001,26
2024-01-05 12:00:00,Grocery,642,41
2024-01-05 13:00:00,Grocery,1625,47
2024-01-05 14:00:00,Electronics,1773,13
2024-01-05 15:00:00,Grocery,591,12
2024-01-05 16:00:00,Sports,1144,5
2024-01-05 17:00:00,Grocery,1357,2
2024-01-05 18:00:00,Electronics,813,4
2024-01-05 19:00:00,Sports,890,27
2024-01-05 20:00:00,Fashion,1766,10
2024-01-05 21:00:00,Grocery,515,13
2024-01-05 22:00:00,Electronics,247,44
2024-01-05 23:00:00,Fashion,1069,2
2024-01-06 00:00:00,Fashion,128,26
2024-01-06 01:00:00,Home,1484,15
2024-01-06 02:00:00,Sports,407,46
2024-01-06 03:00:00,Grocery,261,10
2024-01-06 04:00:00,Electronics,968,22
2024-01-06 05:00:00,Home,951,40
2024-01-06 06:00:00,Sports,160,25
2024-01-06 07:00:00,Home,224,15
2024-01-06 08:00:00,Sports,1579,13
2024-01-06 09:00:00,Sports,1194,8
2024-01-06 10:00:00,Grocery,937,21
2024-01-06 11:00:00,Sports,1999,21
2024-01-06 12:00:00,Home,565,22
2024-01-06 13:00:00,Sports,342,46
2024-01-06 14:00:00,Grocery,1613,33
2024-01-06 15:00:00,Grocery,1884,45
2024-01-06 16:00:00,Home,1344,27
2024-01-06 17:00:00,Fashion,572,40
2024-01-06 18:00:00,Fashion,1058,22
2024-01-06 19:00:00,Sports,632,30
2024-01-06 20:00:00,Electronics,593,9
2024-01-06 21:00:00,Sports,998,45
2024-01-06 22:00:00,Home,181,35
2024-01-06 23:00:00,Home,955,18
2024-01-07 00:00:00,Home,978,42
2024-01-07 01:00:00,Home,1645,5
2024-01-07 02:00:00,Home,1022,27
2024-01-07 03:00:00,Grocery,111,6
2024-01-07 04:00:00,Fashion,1386,32
2024-01-07 05:00:00,Home,1780,8
2024-01-07 06:00:00,Electronics,548,39
2024-01-07 07:00:00,Electronics,1315,21
2024-01-07 08:00:00,Electronics,861,18
2024-01-07 09:00:00,Electronics,1237,14
2024-01-07 10:00:00,Grocery,125,15
2024-01-07 11:00:00,Electronics,1906,42
2024-01-07 12:00:00,Home,1622,26
2024-01-07 13:00:00,Sports,607,44
2024-01-07 14:00:00,Electronics,1668,32
2024-01-07 15:00:00,Grocery,161,39
2024-01-07 16:00:00,Grocery,328,28
2024-01-07 17:00:00,Electronics,1938,39
2024-01-07 18:00:00,Sports,706,43
2024-01-07 19:00:00,Electronics,1158,32
2024-01-07 20:00:00,Grocery,1828,13
2024-01-07 21:00:00,Fashion,1579,15
2024-01-07 22:00:00,Home,1711,18
2024-01-07 23:00:00,Grocery,990,39
2024-01-08 00:00:00,Electronics,1625,6
2024-01-08 01:00:00,Home,860,11
2024-01-08 02:00:00,Electronics,694,32
2024-01-08 03:00:00,Electronics,1148,40
2024-01-08 04:00:00,Fashion,1692,20
2024-01-08 05:00:00,Home,1155,33
2024-01-08 06:00:00,Home,1954,40
2024-01-08 07:00:00,Fashion,1135,8
2024-01-08 08:00:00,Grocery,1442,35
2024-01-08 09:00:00,Electronics,1968,5
2024-01-08 10:00:00,Sports,1727,35
2024-01-08 11:00:00,Electronics,100,47
2024-01-08 12:00:00,Electronics,1558,14
2024-01-08 13:00:00,Grocery,1961,21
2024-01-08 14:00:00,Electronics,1259,47
2024-01-08 15:00:00,Fashion,1319,24
2024-01-08 16:00:00,Fashion,232,17
2024-01-08 17:00:00,Home,185,18
2024-01-08 18:00:00,Sports,1599,34
2024-01-08 19:00:00,Electronics,1930,12
2024-01-08 20:00:00,Electronics,1914,16
2024-01-08 21:00:00,Grocery,1447,4
2024-01-08 22:00:00,Fashion,1303,25
2024-01-08 23:00:00,Sports,615,34
2024-01-09 00:00:00,Home,1761,28
2024-01-09 01:00:00,Fashion,274,46
2024-01-09 02:00:00,Home,862,11
2024-01-09 03:00:00,Grocery,1144,13
2024-01-09 04:00:00,Grocery,1096,31
2024-01-09 05:00:00,Electronics,1228,25
2024-01-09 06:00:00,Sports,677,39
2024-01-09 07:00:00,Home,1566,10
2024-01-09 08:00:00,Fashion,1898,24
2024-01-09 09:00:00,Grocery,148,1
2024-01-09 10:00:00,Electronics,627,25
2024-01-09 11:00:00,Electronics,244,28
2024-01-09 12:00:00,Home,1463,36
2024-01-09 13:00:00,Grocery,861,18
2024-01-09 14:00:00,Sports,1978,6
2024-01-09 15:00:00,Grocery,1477,2
2024-01-09 16:00:00,Home,1198,3
2024-01-09 17:00:00,Home,1925,46
2024-01-09 18:00:00,Grocery,1028,8
2024-01-09 19:00:00,Home,893,31
2024-01-09 20:00:00,Grocery,1701,48
2024-01-09 21:00:00,Fashion,1760,19
2024-01-09 22:00:00,Grocery,418,6
2024-01-09 23:00:00,Grocery,1210,14
